0.0105,0.0655,0.00279
0.011,0.0497,0.00215
0.0114,0.0377,0.00164
0.0118,0.0291,0.00126
0.0123,0.0221,0.000983
0.0128,0.017,0.000765
0.0133,0.0136,0.000612
0.0139,0.0124,0.000527
0.0144,0.00932,0.000414
0.015,0.00776,0.000343
0.0156,0.00653,0.000288
0.0162,0.00484,0.000229
0.0169,0.00443,0.000201
0.0175,0.00312,0.000159
0.0182,0.0028,0.00014
0.019,0.00223,0.000118
0.0197,0.00174,9.64e-05
0.0205,0.00142,8.22e-05
0.0213,0.00109,6.8e-05
0.0222,0.000926,5.85e-05
0.0231,0.000793,5.16e-05
0.024,0.000598,4.18e-05
0.0249,0.000461,3.42e-05
0.0259,0.000404,2.98e-05
0.027,0.000293,2.41e-05
0.028,0.000227,1.98e-05
0.0292,0.000215,1.81e-05
0.0303,0.000159,1.46e-05
0.0315,0.000133,1.26e-05
0.0328,8.69e-05,9.62e-06
0.0341,7.51e-05,8.48e-06
0.0355,7.11e-05,6.42e-06
0.0369,5.74e-05,5.44e-06
0.0383,4.39e-05,4.53e-06
0.0399,3.52e-05,3.86e-06
0.0415,3.59e-05,3.72e-06
0.0431,3.33e-05,3.42e-06
0.0448,3.3e-05,3.26e-06
0.0466,2.4e-05,2.63e-06
0.0485,2.53e-05,2.57e-06
0.0504,2.41e-05,2.38e-06
0.0525,2.18e-05,2.14e-06
0.0545,2.66e-05,2.3e-06
0.0567,2.47e-05,2.09e-06
0.059,2.81e-05,2.18e-06
0.0613,3.19e-05,2.28e-06
0.0638,3.11e-05,2.16e-06
0.0663,3.04e-05,2.07e-06
0.069,2.76e-05,1.9e-06
0.0717,2.75e-05,1.84e-06
0.0746,2.9e-05,1.87e-06
0.0776,2.56e-05,1.67e-06
0.0807,2.57e-05,1.63e-06
0.0839,2.26e-05,1.45e-06
0.0873,2.2e-05,1.38e-06
0.0907,2.2e-05,1.34e-06
0.0944,2.13e-05,1.28e-06
0.0981,2.17e-05,1.28e-06
0.102,1.85e-05,1.11e-06
0.106,1.51e-05,9.41e-07
0.11,1.21e-05,7.88e-07
0.115,1.24e-05,7.92e-07
0.119,1.05e-05,6.97e-07
0.124,8.34e-06,5.94e-07
0.129,7.16e-06,5.3e-07
0.134,6.16e-06,4.71e-07
0.14,5.01e-06,4.04e-07
0.145,4.52e-06,3.73e-07
0.151,4.5e-06,3.66e-07
0.157,3.93e-06,3.32e-07
0.163,4.09e-06,3.37e-07
0.17,3.65e-06,3.12e-07
0.177,3.81e-06,3.21e-07
0.184,3.6e-06,3.1e-07
0.191,3.34e-06,2.97e-07
0.199,3.71e-06,3.23e-07
0.206,4.28e-06,3.67e-07
0.215,3.77e-06,3.61e-07
0.223,3.48e-06,3.65e-07
0.232,3.35e-06,3.81e-07
0.242,3.02e-06,3.83e-07
0.251,3.47e-06,4.41e-07
0.261,3.24e-06,4.49e-07
0.272,3.26e-06,4.76e-07
0.282,3.3e-06,5.06e-07
0.294,4.39e-06,6.04e-07
