0.0105,0.000924,0.000258
0.011,0.00083,0.000215
0.0114,0.000632,0.00017
0.0118,0.000683,0.000153
0.0123,0.000606,0.00013
0.0128,0.000274,7.86e-05
0.0133,0.000411,8.65e-05
0.0139,0.000282,6.43e-05
0.0144,0.000247,5.46e-05
0.015,0.000337,5.85e-05
0.0156,0.000145,3.49e-05
0.0162,0.000142,3.16e-05
0.0169,0.000161,3.13e-05
0.0175,0.00011,2.42e-05
0.0182,8.97e-05,2.02e-05
0.019,7.09e-05,1.68e-05
0.0197,0.000101,1.87e-05
0.0205,5.35e-05,1.28e-05
0.0213,7.78e-05,1.47e-05
0.0222,5.81e-05,1.19e-05
0.0231,4.6e-05,1.01e-05
0.024,3.72e-05,8.49e-06
0.0249,2.21e-05,6.11e-06
0.0259,1.92e-05,5.3e-06
0.027,2.74e-05,5.98e-06
0.028,2.6e-05,5.46e-06
0.0292,1.79e-05,4.25e-06
0.0303,1.68e-05,3.89e-06
0.0315,1.83e-05,3.81e-06
0.0328,1.13e-05,2.83e-06
0.0341,1.51e-05,3.1e-06
0.0355,9.28e-06,1.83e-06
0.0369,1.13e-05,1.9e-06
0.0384,7.06e-06,1.42e-06
0.0399,8.19e-06,1.46e-06
0.0415,5.17e-06,1.1e-06
0.0431,6.55e-06,1.18e-06
0.0449,5.71e-06,1.04e-06
0.0467,3.7e-06,7.83e-07
0.0485,4.43e-06,8.3e-07
0.0505,3.99e-06,7.33e-07
0.0525,4.73e-06,7.89e-07
0.0546,4.44e-06,7.08e-07
0.0567,4.32e-06,6.68e-07
0.059,4.73e-06,6.73e-07
0.0614,5.24e-06,6.95e-07
0.0638,4.22e-06,5.98e-07
0.0664,3.93e-06,5.46e-07
0.069,4.48e-06,5.71e-07
0.0718,5.38e-06,6.27e-07
0.0746,4.69e-06,5.58e-07
0.0776,4.6e-06,5.34e-07
0.0807,4.87e-06,5.42e-07
0.0839,5.24e-06,5.59e-07
0.0873,4.47e-06,4.95e-07
0.0908,5.24e-06,5.34e-07
0.0944,5.71e-06,5.6e-07
0.0982,5.23e-06,5.22e-07
0.102,5.02e-06,4.96e-07
0.106,5.1e-06,4.97e-07
0.11,4.15e-06,4.14e-07
0.115,4.48e-06,4.38e-07
0.119,4.03e-06,4e-07
0.124,3.13e-06,3.26e-07
0.129,2.88e-06,3.03e-07
0.134,3.33e-06,3.36e-07
0.14,3.02e-06,3.07e-07
0.145,2.66e-06,2.75e-07
0.151,2.38e-06,2.5e-07
0.157,2.46e-06,2.54e-07
0.163,2.58e-06,2.63e-07
0.17,2.31e-06,2.4e-07
0.177,2.89e-06,2.87e-07
0.184,2.26e-06,2.36e-07
0.191,2.87e-06,2.87e-07
0.199,2.64e-06,2.71e-07
0.207,2.64e-06,2.77e-07
0.215,2.4e-06,2.66e-07
0.223,2.52e-06,2.87e-07
0.232,2.24e-06,2.75e-07
0.242,2.1e-06,2.75e-07
0.251,2.6e-06,3.33e-07
0.261,2.23e-06,3.13e-07
0.272,1.73e-06,2.78e-07
0.283,2.54e-06,3.7e-07
0.294,2.18e-06,3.43e-07
